Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,y
1360.0,2.0,1.0,1981.0,0.5996366396268326,0.0,5.0,262382.8522740563
4272.0,3.0,3.0,2016.0,4.75301384940204,1.0,6.0,985260.854490162
3592.0,1.0,2.0,2016.0,3.634822720478255,0.0,9.0,777977.3901185812
966.0,1.0,2.0,1977.0,2.73066687604351,1.0,8.0,229698.9186636115
4926.0,2.0,1.0,1993.0,4.699072554837388,0.0,8.0,1041740.8589249004
3944.0,5.0,3.0,1990.0,2.475930043628728,2.0,8.0,879796.9835223783
3671.0,1.0,2.0,2012.0,4.911960066216673,0.0,1.0,814427.8614089885
3419.0,1.0,1.0,1972.0,2.805281407595683,1.0,1.0,703413.1109446795
630.0,3.0,3.0,1997.0,1.0142859649909075,1.0,8.0,173875.03721558454
2185.0,4.0,2.0,1981.0,3.9416043760667474,2.0,5.0,504176.5060593679
1269.0,2.0,2.0,2006.0,3.5550397628502823,1.0,9.0,335332.59275293903
2891.0,2.0,3.0,1982.0,3.9784402458751407,0.0,2.0,635097.3959198
2933.0,5.0,3.0,1973.0,4.781489129265565,2.0,9.0,701133.8041471172
1684.0,5.0,3.0,1988.0,3.994201861929581,1.0,8.0,440726.2848162878
3885.0,2.0,3.0,1983.0,3.251014709974911,1.0,9.0,838719.430503504
4617.0,5.0,1.0,2005.0,4.3578900606237845,0.0,4.0,1019192.6613592046
3404.0,3.0,3.0,1977.0,3.529608977095392,0.0,1.0,735850.8123421574
974.0,2.0,2.0,1986.0,2.336535755716654,2.0,1.0,234261.64997473892
1582.0,5.0,2.0,1956.0,4.48528893908798,1.0,5.0,396246.3588887452
3058.0,2.0,1.0,2017.0,1.498552073529678,0.0,2.0,672852.0519810001
2547.0,4.0,2.0,1986.0,3.715885737089259,2.0,8.0,586086.5685389101
3247.0,1.0,2.0,2005.0,4.467035547233406,1.0,10.0,740174.0146550778
1475.0,2.0,3.0,2014.0,3.790924338664833,1.0,5.0,370167.09090271546
2306.0,1.0,2.0,2014.0,3.637739385742356,2.0,5.0,530824.1967752124
689.0,5.0,1.0,1996.0,3.8868723233232623,2.0,2.0,227515.3002879812
3234.0,1.0,3.0,1969.0,2.5927486173529,0.0,7.0,652166.1423658864
